what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381120454
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381121804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381122990
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381123215
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381123254
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381135361
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381135382
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381168329
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381169466
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381169659
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381169696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381184521
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381290993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381292709
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381299976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381301104
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381542926
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381544817
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1281381544846
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381564811
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381680324
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381694362
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381713848
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381728047
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381728164
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381728181
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381912012
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1281381919163
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1281381920610
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281381922190
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1281381929934
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1281381931534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1281381948458
